start_ts,channel_id,dur,title,series_title,orig_title,slot_name,sport_type,event_type,season_type
2024-10-07 01:30:00,4,5399,Марадона Кустурицы,"",Maradona,MCH. Марадона Кустурицы,"","",""
2024-10-07 03:00:00,12,3299,Чистый футбол,Чистый футбол,Штрафная/Чистый футбол,MCH. Чистый футбол 1  MCH. Чистый футбол,"","",""
2024-10-08 03:00:00,12,3299,Чистый футбол,Чистый футбол,Штрафная/Чистый футбол,MCH. Чистый футбол 2  MCH. Чистый футбол,"","",""
2024-10-01 04:30:00,9,3299,Тяжеловес,Тяжеловес,Тяжеловес,MCH. Тяжеловес 1  MCH. Тяжеловес,"","",""
2024-10-02 16:30:00,12,3599,Тяжеловес,Тяжеловес,Тяжеловес,MCH. Тяжеловес 1  MCH. Тяжеловес,"","",""
2024-10-02 04:35:00,9,3299,Тяжеловес,Тяжеловес,Тяжеловес,MCH. Тяжеловес 2  MCH. Тяжеловес,"","",""
2024-10-02 17:30:00,12,3299,Тяжеловес,Тяжеловес,Тяжеловес,MCH. Тяжеловес 2  MCH. Тяжеловес,"","",""
2024-10-02 08:25:00,1,4199,Профессиональный бокс. Денис Лебедев против Мурата Гассиева,Бокс. 2016,Бокс. 2016,MCH. Бокс. 2016 25  MCH. Профессиональный бокс. Денис Лебедев против Мурата Гассиева,Профессиональный бокс,"",2016
2024-10-07 01:15:00,7,6299,Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства. Архив,Смешанные единоборства. Архив,MCH. Смешанные единоборства. Архив 13  MCH. Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства,Strikeforce,""
2024-10-03 03:00:00,7,6299,Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства. Архив,Смешанные единоборства. Архив,MCH. Смешанные единоборства. Архив 13  MCH. Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства,Strikeforce,""
2024-10-01 20:55:00,13,6299,Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства. Архив,Смешанные единоборства. Архив,MCH. Смешанные единоборства. Архив 13  MCH. Смешанные единоборства. Strikeforce. Фёдор Емельяненко против Дэна Хендерсона,Смешанные единоборства,Strikeforce,""
2024-10-08 02:05:00,7,899,Не о боях. Дмитрий Кудряшов,Не о боях,Не о боях,MCH. Не о боях 31  MCH. Не о боях. Дмитрий Кудряшов,"","",""
2024-10-03 16:55:00,10,3599,Тренер. Анатолий Рахлин,"",Тренер. Анатолий Рахлин,MCH. Тренер. Анатолий Рахлин,"","",""
2024-10-04 08:30:00,12,3299,Тренер. Анатолий Рахлин,"",Тренер. Анатолий Рахлин,MCH. Тренер. Анатолий Рахлин,"","",""
2024-10-06 03:00:00,12,3299,Тренер. Анатолий Рахлин,"",Тренер. Анатолий Рахлин,MCH. Тренер. Анатолий Рахлин,"","",""
2024-10-03 16:40:00,2,4199,"""Манчестер Юнайтед"". Вперёд к славе","",Manchester United: For the Glory,"MCH. ""Манчестер Юнайтед"". Вперёд к славе","","",""
2024-10-07 23:50:00,7,8099,Профессиональный бокс. Тим Цзю против Денниса Хогана (Австралия),Профессиональный бокс. 2021,Профессиональный бокс. 2021,MCH. Профессиональный бокс. 2021 19/0  MCH. Профессиональный бокс. Тим Цзю против Денниса Хогана (Австралия),Профессиональный бокс,Боксерские бои,2021
2024-10-01 08:45:00,9,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 10/0  MCH. Физруки. Будущее за настоящим,"","",""
2024-10-01 21:50:00,9,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 10/0  MCH. Физруки. Будущее за настоящим,"","",""
2024-10-01 06:55:00,10,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 10/0  MCH. Физруки. Будущее за настоящим,"","",""
2024-10-01 18:30:00,10,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 10/0  MCH. Физруки. Будущее за настоящим,"","",""
2024-10-02 21:45:00,9,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 11/0  MCH. Физруки. Будущее за настоящим,"","",""
2024-10-02 07:00:00,10,2099,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,Физруки. Будущее за настоящим,MCH. Физруки. Будущее за настоящим 11/0  MCH. Физруки. Будущее за настоящим,"","",""
