ts,requests,local_max,matched_shows
2024-10-05 15:11:00,46756,46756.0,"[{'title': 'Магия большого спорта (Шахматы, 12)', 'event_type': nan, 'channel_id': 12}, {'title': '""PROСобытие"" Конный пробег ""Кубок Кавказа""', 'event_type': nan, 'channel_id': 8}, {'title': 'Страна смотрит спорт (2024) Серия 40', 'event_type': nan, 'channel_id': 13}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Зенит"" - ""Оренбург""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Регби. PARI Чемпионат России. Матч за 3-е место. ""Красный Яр"" (Красноярск) - ""Локомотив-Пенза""', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Смешанные единоборства. ACA 180. Азам Гафоров против Курбана Гаджиева. Магомед Бибулатов против Мехди Байдулаева (Грозный )', 'event_type': 'Бои ACA', 'channel_id': 7}, {'title': 'Аэробика. Чемпионат мира. Трансляция из Италии', 'event_type': 'Чемпионат мира', 'channel_id': 9}, {'title': 'Чемпионат Испании. ""Хетафе"" - ""Осасуна""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Унион"" - ""Боруссия"" (Дортмунд)', 'event_type': 'Чемпионат Германии', 'channel_id': 2}, {'title': 'Чемпионат Германии. ""Байер"" - ""Хольштайн Киль""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Футбол. Winline Кубок России по футболу среди женщин. Финал. ""Локомотив"" - ЦСКА', 'event_type': 'Кубок России', 'channel_id': 1}]"
2024-10-06 15:54:00,38671,38671.0,"[{'title': 'Вопреки всему', 'event_type': nan, 'channel_id': 9}, {'title': 'Неймар. Номер один в Бразилии', 'event_type': nan, 'channel_id': 2}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Краснодар"" - ""Химки""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Футзал. Чемпионат мира. Финал. Бразилия - Аргентина. Трансляция из Узбекистана', 'event_type': 'Чемпионат мира', 'channel_id': 10}, {'title': 'Смешанные единоборства. UFC 307. Предварительные бои. Стивен Томпсон против Хоакина Бакли. Жозе Алдо против Марио Баутисты (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Испании. ""Алавес"" - ""Барселона""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Айнтрахт"" (Франкфурт) - ""Бавария""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 13}, {'title': 'Дмитрий Губерниев. Голос наших побед', 'event_type': nan, 'channel_id': 12}]"
2024-10-06 17:15:00,38547,38547.0,"[{'title': 'Тайны звёзд спорта', 'event_type': nan, 'channel_id': 10}, {'title': 'Бильярд. Кубок мэра Москвы. Китайская восьмёрка. Женщины. Трансляция из Москвы', 'event_type': 'Прочее', 'channel_id': 9}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Краснодар"" - ""Химки""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Смешанные единоборства. UFC 307. Алекс Перейра против Халила Раунтри. Ракэль Пеннингтон против Джулианы Пеньи (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Италии. ""Монца"" - ""Рома""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Севилья"" - ""Бетис""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Айнтрахт"" (Франкфурт) - ""Бавария""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 12}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 13}]"
2024-10-06 17:16:00,37119,,"[{'title': 'Тайны звёзд спорта', 'event_type': nan, 'channel_id': 10}, {'title': 'Бильярд. Кубок мэра Москвы. Китайская восьмёрка. Женщины. Трансляция из Москвы', 'event_type': 'Прочее', 'channel_id': 9}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Краснодар"" - ""Химки""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Смешанные единоборства. UFC 307. Алекс Перейра против Халила Раунтри. Ракэль Пеннингтон против Джулианы Пеньи (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Италии. ""Монца"" - ""Рома""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Севилья"" - ""Бетис""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Айнтрахт"" (Франкфурт) - ""Бавария""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 12}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 13}]"
2024-10-06 17:17:00,36025,,"[{'title': 'Тайны звёзд спорта', 'event_type': nan, 'channel_id': 10}, {'title': 'Бильярд. Кубок мэра Москвы. Китайская восьмёрка. Женщины. Трансляция из Москвы', 'event_type': 'Прочее', 'channel_id': 9}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Краснодар"" - ""Химки""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Смешанные единоборства. UFC 307. Алекс Перейра против Халила Раунтри. Ракэль Пеннингтон против Джулианы Пеньи (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Италии. ""Монца"" - ""Рома""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Севилья"" - ""Бетис""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Айнтрахт"" (Франкфурт) - ""Бавария""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 12}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. Финал. ""Динамо"" (Москва) - ""Зенит-Казань"". Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 13}]"
2024-10-05 15:12:00,35920,,"[{'title': 'Магия большого спорта (Шахматы, 12)', 'event_type': nan, 'channel_id': 12}, {'title': '""PROСобытие"" Конный пробег ""Кубок Кавказа""', 'event_type': nan, 'channel_id': 8}, {'title': 'Страна смотрит спорт (2024) Серия 40', 'event_type': nan, 'channel_id': 13}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Зенит"" - ""Оренбург""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Регби. PARI Чемпионат России. Матч за 3-е место. ""Красный Яр"" (Красноярск) - ""Локомотив-Пенза""', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Смешанные единоборства. ACA 180. Азам Гафоров против Курбана Гаджиева. Магомед Бибулатов против Мехди Байдулаева (Грозный )', 'event_type': 'Бои ACA', 'channel_id': 7}, {'title': 'Аэробика. Чемпионат мира. Трансляция из Италии', 'event_type': 'Чемпионат мира', 'channel_id': 9}, {'title': 'Чемпионат Испании. ""Хетафе"" - ""Осасуна""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Унион"" - ""Боруссия"" (Дортмунд)', 'event_type': 'Чемпионат Германии', 'channel_id': 2}, {'title': 'Чемпионат Германии. ""Байер"" - ""Хольштайн Киль""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Футбол. Winline Кубок России по футболу среди женщин. Финал. ""Локомотив"" - ЦСКА', 'event_type': 'Кубок России', 'channel_id': 1}]"
2024-10-06 15:17:00,35817,35817.0,"[{'title': 'Век нашего спорта (1940 - 1945 г.г.)', 'event_type': nan, 'channel_id': 12}, {'title': 'Борис Михайлов. Жить, не сглаживая углы', 'event_type': nan, 'channel_id': 9}, {'title': 'Неймар. Номер один в Бразилии', 'event_type': nan, 'channel_id': 2}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Локомотив"" - ""Крылья Советов""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Футзал. Чемпионат мира. Финал. Бразилия - Аргентина. Трансляция из Узбекистана', 'event_type': 'Чемпионат мира', 'channel_id': 10}, {'title': 'Небесная грация', 'event_type': nan, 'channel_id': 13}, {'title': 'Смешанные единоборства. UFC 307. Предварительные бои. Стивен Томпсон против Хоакина Бакли. Жозе Алдо против Марио Баутисты (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Испании. ""Алавес"" - ""Барселона""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Хайденхайм"" - ""Лейпциг""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}]"
2024-10-05 15:59:00,35604,35604.0,"[{'title': 'Небесная грация', 'event_type': nan, 'channel_id': 9}, {'title': 'Скачки. Приз Раиса Республики Татарстан. Трансляция из Казани', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'Кубок Германии. 1/32 финала. Обзор', 'event_type': 'Кубок Германии', 'channel_id': 4}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Рубин"" - ""Ахмат""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Спартак"" - ""Ростов""', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Смешанные единоборства. ACA 180. Азам Гафоров против Курбана Гаджиева. Магомед Бибулатов против Мехди Байдулаева (Грозный )', 'event_type': 'Бои ACA', 'channel_id': 7}, {'title': 'Чемпионат Италии. ""Аталанта"" - ""Дженоа""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Хетафе"" - ""Осасуна""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. 1/2 финала. ""Динамо"" (Москва) - ""Кузбасс"" (Кемерово). Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 10}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. 1/2 финала. ""Динамо"" (Москва) - ""Кузбасс"" (Кемерово). Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 12}, {'title': 'Волейбол. Кубок легенд. Мужчины. Финал 4-х. 1/2 финала. ""Динамо"" (Москва) - ""Кузбасс"" (Кемерово). Трансляция из Москвы', 'event_type': 'Кубок Легенд', 'channel_id': 13}]"
2024-10-06 15:16:00,35246,,"[{'title': 'Век нашего спорта (1940 - 1945 г.г.)', 'event_type': nan, 'channel_id': 12}, {'title': 'Борис Михайлов. Жить, не сглаживая углы', 'event_type': nan, 'channel_id': 9}, {'title': 'Неймар. Номер один в Бразилии', 'event_type': nan, 'channel_id': 2}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Локомотив"" - ""Крылья Советов""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Футзал. Чемпионат мира. Финал. Бразилия - Аргентина. Трансляция из Узбекистана', 'event_type': 'Чемпионат мира', 'channel_id': 10}, {'title': 'Небесная грация', 'event_type': nan, 'channel_id': 13}, {'title': 'Смешанные единоборства. UFC 307. Предварительные бои. Стивен Томпсон против Хоакина Бакли. Жозе Алдо против Марио Баутисты (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Испании. ""Алавес"" - ""Барселона""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Хайденхайм"" - ""Лейпциг""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}]"
2024-10-06 15:26:00,32607,,"[{'title': 'Век нашего спорта (1940 - 1945 г.г.)', 'event_type': nan, 'channel_id': 12}, {'title': 'Вопреки всему', 'event_type': nan, 'channel_id': 9}, {'title': 'Неймар. Номер один в Бразилии', 'event_type': nan, 'channel_id': 2}, {'title': 'Скачки. Большой Нальчикский приз (Дерби). Трансляция из Нальчика.', 'event_type': 'Скачки', 'channel_id': 8}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Локомотив"" - ""Крылья Советов""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'МИР Российская Премьер-лига. Тур 11. ""Динамо"" (Москва) - ЦСКА', 'event_type': 'Чемпионат России', 'channel_id': 1}, {'title': 'Футзал. Чемпионат мира. Финал. Бразилия - Аргентина. Трансляция из Узбекистана', 'event_type': 'Чемпионат мира', 'channel_id': 10}, {'title': 'Смешанные единоборства. UFC 307. Предварительные бои. Стивен Томпсон против Хоакина Бакли. Жозе Алдо против Марио Баутисты (США)', 'event_type': 'UFC', 'channel_id': 7}, {'title': 'Чемпионат Испании. ""Алавес"" - ""Барселона""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Чемпионат Германии. ""Айнтрахт"" (Франкфурт) - ""Бавария""', 'event_type': 'Чемпионат Германии', 'channel_id': 4}, {'title': 'Дмитрий Губерниев. Голос наших побед', 'event_type': nan, 'channel_id': 13}]"
