user_id,session_id,event_index,previous,current,delta,type
" !%,5Bf""ivQz^Rw9C#lCq:sq9NoTEi4hiXYBfB",30z'M!?;`<<\iBBxB}a51W6>Zn^xJb\&?x]EzL'b5\,1,1,3,2,skip
" &lAv%^s\*iR,aEc54@+?[Alq+&LN^$xV@D-:q","R[_K<0V&pLH""aLDT&uK{UL_Mm$Szi'K@Z\}g*abua{",3,3,6,3,skip
" 5""G[_8T^pARy4>Xu?RGpGoCAyA`;9GQBj_,~`","<ze7@>p ?8EF?!|qe{l^t_gsNd{O1%EUF,<f6U}>Ca",3,3,6,3,skip
" ALd#Uh:x#dTB)>K.""D{P|9Wg{y;H(:R)ClG[z",XL|OESF'-jG!`SrmG=|}G^Lusp0w&SKLkqYC1fB';c,3,3,6,3,skip
" ALd#Uh:x#dTB)>K.""D{P|9Wg{y;H(:R)ClG[z",XL|OESF'-jG!`SrmG=|}G^Lusp0w&SKLkqYC1fB';c,4,6,13,7,skip
" ALd#Uh:x#dTB)>K.""D{P|9Wg{y;H(:R)ClG[z",XL|OESF'-jG!`SrmG=|}G^Lusp0w&SKLkqYC1fB';c,6,14,17,3,skip
" ALd#Uh:x#dTB)>K.""D{P|9Wg{y;H(:R)ClG[z",XL|OESF'-jG!`SrmG=|}G^Lusp0w&SKLkqYC1fB';c,7,17,22,5,skip
 AwIBw46%j~3F)K'%~DVQra_S7gv#Ptyk&.[C>,"}(Jd""WO-`z?@iVe**WoEyOq:pOMzJLW|^H6Mlq)PN^",1,1,5,4,skip
" QiwA#u*,>Ckr7U6[P-wMPXktz`PI0G>#e`ZL~","@O4'HC:)iu2>7OKn,h 05bbEP9:Tws=T,jW7""lzd>{",8,7,10,3,skip
 Qw(+l~oX <*`0i?a]`bzT08[uauEvZy_%/Fp~,"zN)_LZpbuu: ']!~*N""2PdDF[JI*PD_'P-1_A$F_SP",1,2,4,2,skip
 Qw(+l~oX <*`0i?a]`bzT08[uauEvZy_%/Fp~,"zN)_LZpbuu: ']!~*N""2PdDF[JI*PD_'P-1_A$F_SP",2,4,6,2,skip
 Qw(+l~oX <*`0i?a]`bzT08[uauEvZy_%/Fp~,"zN)_LZpbuu: ']!~*N""2PdDF[JI*PD_'P-1_A$F_SP",5,8,10,2,skip
" a%^NvevjK%oMgiU<X""$yPUdyh3B):e\dN9t#V",5jl;Uc2Hi)Io?hN=ohM| \Y>)J]Kwyj;(n_U/I&S [,3,9,11,2,skip
 ep:b-?Lx0VAGkvYfNkMS;jMoPLrF9\X(YeO2U,&}IXx!# [kkTj#\l%Vq:#DMA|`H;fAM(!!=fE$|_.Y,1,1,3,2,skip
" gM(;W(n$4KquK,o#P|{e{N{Vi6""6S 2,Lo]U7","m6.}g=trF'/i<i*\051gVANI9p<NdqQQs8P18RoUe""",2,2,5,3,skip
" r sJ9OwKFc Wo6,{&$kRG@!?vp0,;W+zUV)oj","@(Pc_u:nOJYn+c~z]4A%8""\{[5u[b#7<P{*ZRWv-2q",3,3,7,4,skip
" r sJ9OwKFc Wo6,{&$kRG@!?vp0,;W+zUV)oj","@(Pc_u:nOJYn+c~z]4A%8""\{[5u[b#7<P{*ZRWv-2q",4,7,10,3,skip
" yP$B~#)""3G<Buzo+'( r4n$'K/{m |3S7Wf`N","WztsA{>7 2hD+NPlASN[Zc.,\GS/FbMX-Ld9K]DL1I",2,2,4,2,skip
" yP$B~#)""3G<Buzo+'( r4n$'K/{m |3S7Wf`N","WztsA{>7 2hD+NPlASN[Zc.,\GS/FbMX-Ld9K]DL1I",3,4,6,2,skip
!2o#>OSn *]M]Dh&-9252Tl<W\qPax%{nutiWn,"i](Q1bZXkt,*n}1|qWah""1fD0CB mD-hzkBMB4^#cA",3,3,6,3,skip
"!50#{ZTK""k9m3jnM-(/bfnK0+,Sb];&$3468&G",Gc0U)s=6Ay`f/>2YGCLzM*Jsz>ttuVgtUytLqNwF<o,2,2,4,2,skip
"!50#{ZTK""k9m3jnM-(/bfnK0+,Sb];&$3468&G","]=,{QJ4Hz-I,y_vGoRugOS6]6p!Kks$f2 F}4d,dQ2",3,3,6,3,skip
!8{GAjQFcKki>ERrsT:$0v}23I<atSEJj`SESI,X$):TxZ9@:K%rV>FZNk*@WF'v>^X>iCwax`9misu`p,2,2,4,2,skip
